month;date;team1;runs1;team2;runs2
April;2;Yankees;3;Rays;7
April;2;Giants;5;D-backs;6
April;2;Cubs;3;Cardinals;4
April;3;Marlins;2;Nationals;4
April;3;Braves;0;Mets;6
April;3;Pirates;3;Red Sox;5
April;3;Rockies;7;Brewers;5
April;3;Blue Jays;2;Orioles;3
April;3;Royals;1;Twins;7
April;3;Phillies;4;Reds;3
April;3;Padres;3;Dodgers;14
April;3;Indians;8;Rangers;5
April;3;Mariners;0;Astros;3
April;3;Angels;2;Athletics;4
April;4;Tigers;6;White Sox;3
April;4;Yankees;5;Rays;0
April;4;Rockies;6;Brewers;5
April;4;Indians;4;Rangers;3
April;4;Mariners;1;Astros;2
April;4;Cubs;2;Cardinals;1
April;4;Giants;8;D-backs;4
April;4;Angels;7;Athletics;6
April;4;Padres;4;Dodgers;0
April;5;Royals;1;Twins;9
April;5;Marlins;4;Nationals;6
April;5;Blue Jays;1;Orioles;3
April;5;Braves;3;Mets;1
April;5;Yankees;1;Rays;4
April;5;Phillies;0;Reds;2
April;5;Pirates;0;Red Sox;3
April;5;Indians;9;Rangers;6
April;5;Rockies;1;Brewers;6
April;5;Mariners;3;Astros;5
April;5;Giants;6;D-backs;8
April;5;Angels;5;Athletics;0
April;5;Padres;1;Dodgers;3
April;6;Phillies;4;Reds;7
April;6;Royals;3;Twins;5
April;6;Rockies;2;Brewers;1
April;6;Cubs;6;Cardinals;4
April;6;Tigers;2;White Sox;11
April;6;Padres;2;Dodgers;10
April;6;Angels;1;Athletics;5
April;6;Marlins;4;Nationals;3
April;6;Braves;2;Mets;6
April;6;Blue Jays;5;Rays;2
April;6;Mariners;4;Astros;2
April;6;Giants;3;D-backs;9
April;7;Braves;4;Pirates;5
April;7;Red Sox;5;Tigers;6
April;7;Nationals;7;Phillies;6
April;7;Dodgers;1;Rockies;2
April;7;Giants;6;Padres;7
April;7;Yankees;5;Orioles;6
April;7;Marlins;7;Mets;2
April;7;Blue Jays;8;Rays;10
April;7;Athletics;5;Rangers;10
April;7;Cubs;1;Brewers;2
April;7;Royals;5;Astros;1
April;7;Twins;3;White Sox;1
April;7;Reds;2;Cardinals;0
April;7;Indians;3;D-backs;7
April;7;Mariners;1;Angels;5
April;8;Red Sox;1;Tigers;4
